publish_date,headline_text,sentiment_label,sentiment_score
2003-02-19,businesses should prepare for terrorist attacks,Neutral,0.7831123471260071
2003-02-19,resource stocks boost all ords,Positive,0.9999996423721313
2003-02-19,shire offers assurances over finances,Neutral,0.8737066388130188
2003-02-19,slow recovery predicted for aust economy,Negative,0.999993085861206
2003-02-20,mud crab business on the move,Neutral,0.9991416931152344
2003-02-20,us markets remain jittery in shadow of war,Negative,0.7559157013893127
2003-02-20,wide bay economy growing stronger,Positive,1.0
2003-02-21,aust share market ends week in negative territory,Negative,0.999996542930603
2003-02-21,big guns back to business in the premier league,Neutral,0.9135234355926514
2003-02-21,retail sector airs trading hours review concerns,Negative,0.9999926090240479
2003-02-22,us stocks rise following positive iraqi comments,Positive,0.9999982118606567
2003-02-24,community bank shares trading shows little change,Negative,0.5418754816055298
2003-02-24,new laws proposed for the territorys rental market,Neutral,0.999138593673706
2003-02-24,survey highlights extended trading hours support,Neutral,0.9993113279342651
2003-02-25,business confidence bottoms out in the nt,Negative,0.7873494029045105
2003-02-25,business looks to closer adelaide links,Neutral,0.9999579191207886
2003-02-25,share market plunge with global uncertainty,Negative,0.9999983310699463
2003-02-25,strength of dollar surprises market,Positive,0.9999997615814209
2003-02-25,tasmanias business most buoyant in the nation,Positive,0.9999998807907104
2003-02-26,aust airlines looks to asian market,Neutral,0.9999927282333374
2003-02-26,business as usual after threats cup boss,Neutral,0.9994327425956726
2003-02-26,fire destroys sign writing business,Neutral,0.9995551705360413
2003-02-26,market fights to close 24 points higher,Positive,0.9947868585586548
2003-02-27,investment figures better than expected,Positive,1.0
2003-02-27,major stocks take a thumping,Negative,0.995448887348175
2003-02-27,netanyahu accepts finance portfolio in reshuffle,Neutral,0.9999812841415405
2003-02-27,regional business works through drought,Neutral,0.9068850874900818
2003-02-28,carr to promote investment opportunities in,Neutral,0.8322482705116272
2003-02-28,netanyahu accepts finance ministers job,Neutral,0.999620795249939
2003-02-28,rural real estate market becomes more active,Neutral,0.9295141696929932
2003-02-28,tourism operators to drum up business in japan,Neutral,0.9594915509223938
2003-02-28,uk scam hits wide bay businesses,Neutral,0.9863100051879883
2003-03-01,brisbane gps discuss business viability,Neutral,0.9999631643295288
2003-03-01,chinese economy figures signal a boom,Neutral,0.6078537702560425
2003-03-01,tobacco farmer faces jail over black market trading,Negative,0.8953210115432739
2003-03-01,us economy fights off recession,Negative,0.9986741542816162
2003-03-01,us stocks set to open flat,Neutral,0.9999576807022095
2003-03-03,minister encourages foreign investment,Neutral,0.9978188276290894
2003-03-03,spurned us troop deal hurts turkish stocks,Negative,0.9999803304672241
2003-03-03,supermarkets encourage shoppers to abandon plastic,Neutral,0.9997392296791077
2003-03-03,workcover to investigate riverland small businesses,Neutral,0.9956157207489014
2003-03-04,all ords sheds five points as big stocks falter,Negative,0.8902276754379272
2003-03-04,group says market pressures to determine retail,Negative,0.9999924898147583
2003-03-04,teen charged with supermarket stabbing,Neutral,0.9999361038208008
2003-03-05,aust sharemarket at three year low,Neutral,0.9821830987930298
2003-03-06,aust share market finishes in the red,Neutral,0.9998923540115356
2003-03-06,fair trading police warn about net swindles,Neutral,0.9812763929367065
2003-03-06,govt offers help to small businesses affected by,Neutral,0.9995855689048767
2003-03-06,no evidence saudis financed bali bombers police,Neutral,0.9982028007507324
2003-03-06,northam business unsure of space centre impact,Negative,0.9988621473312378
2003-03-07,expo to focus on small businesses,Neutral,0.9998819828033447
2003-03-07,japans market slumps to 20 yr low,Negative,0.9999396800994873
2003-03-07,market hits 3 year low,Negative,0.761920690536499
2003-03-07,nervous investors take market to new 4 year low,Negative,0.9964893460273743
2003-03-08,market braces for further pressure,Negative,0.9995416402816772
2003-03-10,share market falters to finish in the red,Negative,0.9999959468841553
2003-03-11,business confidence records biggest fall since,Positive,0.9904544949531555
2003-03-11,businesses continue suffering phone woes,Negative,0.9999985694885254
2003-03-11,gas contract set to boost north west business,Positive,1.0
2003-03-11,looming iraq conflict holds us markets hostage,Negative,0.999198853969574
2003-03-11,market falters as amp shares drop to record low,Negative,0.9999992847442627
