publish_date,headline_text,polarity,subjectivity
2003-02-19,businesses should prepare for terrorist attacks,0.0,0.0
2003-02-19,resource stocks boost all ords,0.0,0.0
2003-02-19,shire offers assurances over finances,0.1,0.0
2003-02-19,slow recovery predicted for aust economy,-0.30000000000000004,0.39999999999999997
2003-02-20,mud crab business on the move,0.0,0.0
2003-02-20,us markets remain jittery in shadow of war,0.0,0.0
2003-02-20,wide bay economy growing stronger,-0.1,0.4
2003-02-21,aust share market ends week in negative territory,-0.3,0.4
2003-02-21,big guns back to business in the premier league,0.0,0.05
2003-02-21,retail sector airs trading hours review concerns,0.0,0.0
2003-02-22,us stocks rise following positive iraqi comments,0.11363636363636363,0.3227272727272727
2003-02-24,community bank shares trading shows little change,-0.1875,0.5
2003-02-24,new laws proposed for the territorys rental market,0.13636363636363635,0.45454545454545453
2003-02-24,survey highlights extended trading hours support,0.0,0.0
2003-02-25,business confidence bottoms out in the nt,0.0,0.0
2003-02-25,business looks to closer adelaide links,0.0,0.0
2003-02-25,share market plunge with global uncertainty,0.0,0.0
2003-02-25,strength of dollar surprises market,0.0,0.0
2003-02-25,tasmanias business most buoyant in the nation,0.5,0.5
2003-02-26,aust airlines looks to asian market,0.0,0.0
2003-02-26,business as usual after threats cup boss,-0.25,0.25
2003-02-26,fire destroys sign writing business,0.0,0.0
2003-02-26,market fights to close 24 points higher,0.25,0.5
2003-02-27,investment figures better than expected,0.2,0.45
2003-02-27,major stocks take a thumping,0.0625,0.5
2003-02-27,netanyahu accepts finance portfolio in reshuffle,0.0,0.0
2003-02-27,regional business works through drought,0.0,0.0
2003-02-28,carr to promote investment opportunities in,0.0,0.0
2003-02-28,netanyahu accepts finance ministers job,0.0,0.0
2003-02-28,rural real estate market becomes more active,0.14166666666666666,0.35
2003-02-28,tourism operators to drum up business in japan,0.0,0.0
2003-02-28,uk scam hits wide bay businesses,-0.1,0.4
2003-03-01,brisbane gps discuss business viability,0.0,0.0
2003-03-01,chinese economy figures signal a boom,0.0,0.0
2003-03-01,tobacco farmer faces jail over black market trading,-0.13333333333333333,0.21666666666666667
2003-03-01,us economy fights off recession,0.0,0.0
2003-03-01,us stocks set to open flat,-0.0125,0.3125
2003-03-03,minister encourages foreign investment,-0.125,0.125
2003-03-03,spurned us troop deal hurts turkish stocks,0.0,0.0
2003-03-03,supermarkets encourage shoppers to abandon plastic,0.0,0.0
2003-03-03,workcover to investigate riverland small businesses,-0.25,0.4
2003-03-04,all ords sheds five points as big stocks falter,0.0,0.1
2003-03-04,group says market pressures to determine retail,0.0,0.0
2003-03-04,teen charged with supermarket stabbing,-0.3,0.4
2003-03-05,aust sharemarket at three year low,0.0,0.3
2003-03-06,aust share market finishes in the red,0.0,0.0
2003-03-06,fair trading police warn about net swindles,0.35,0.45
2003-03-06,govt offers help to small businesses affected by,-0.075,0.2
2003-03-06,no evidence saudis financed bali bombers police,0.0,0.0
2003-03-06,northam business unsure of space centre impact,0.0,0.0
2003-03-07,expo to focus on small businesses,-0.25,0.4
2003-03-07,japans market slumps to 20 yr low,0.0,0.3
2003-03-07,market hits 3 year low,0.0,0.3
2003-03-07,nervous investors take market to new 4 year low,0.06818181818181818,0.37727272727272726
2003-03-08,market braces for further pressure,0.0,0.5
2003-03-10,share market falters to finish in the red,0.0,0.0
2003-03-11,business confidence records biggest fall since,0.0,0.0
2003-03-11,businesses continue suffering phone woes,0.0,0.0
2003-03-11,gas contract set to boost north west business,0.0,0.0
2003-03-11,looming iraq conflict holds us markets hostage,0.0,0.0
2003-03-11,market falters as amp shares drop to record low,0.0,0.3
2003-03-11,trading hours plan sparks regional concerns,0.0,0.0
2003-03-11,wall st slump to send aust market new four year low,0.06818181818181818,0.37727272727272726
2003-03-11,war fears send market to 4 year low,0.0,0.3
2003-03-12,aust market continues slide,0.0,0.0
2003-03-12,business park plan under fire,0.0,0.0
2003-03-12,consumer confidence down as world markets slip,-0.15555555555555556,0.2888888888888889
2003-03-12,easter trading laws may be too late mayor,-0.3,0.6
2003-03-13,amp defies stock market retreat,0.0,0.0
2003-03-13,dollar down further in market replay,-0.07777777777777778,0.3944444444444445
2003-03-13,job figures dont match strong economy labor,0.43333333333333335,0.7333333333333334
2003-03-13,kalgoorlie boulder housing market on top,0.5,0.5
2003-03-14,aust market follows global rebound,0.0,0.0
2003-03-14,market holding early gains,0.1,0.3
2003-03-15,us stocks flat amid threat of war,-0.025,0.125
2003-03-17,businesses not expecting quick recovery,0.3333333333333333,0.5
2003-03-17,forsayth develops business plan in wake of rail,0.0,0.0
2003-03-17,market stalls as war machine revs up,0.0,0.0
2003-03-18,australian stocks rally in morning trade,0.0,0.0
2003-03-18,business urged to back easter fair,0.35,0.45
2003-03-18,investment fund backs wine merger,0.0,0.0
2003-03-18,market maintains early gains,0.1,0.3
2003-03-18,markets rally at prospect of short iraq conflict,0.0,0.3
2003-03-19,business council welcomes ec relief,0.0,0.0
2003-03-19,farmers benefiting from steadying crude oil market,-0.7,1.0
2003-03-19,stellar market holds gains,0.25,0.25
2003-03-19,stunning gains on us uk and australian markets,0.25,0.5
2003-03-20,comment sought on retail trading deregulation,0.0,0.0
2003-03-20,doubt cast over trading hours partial deregulation,-0.1,0.3
2003-03-20,jailed businessman fined over waste storage,-0.2,0.0
2003-03-20,share market makes gains on first day of war,0.25,0.3333333333333333
2003-03-21,farmers businesses to get flood relief,0.0,0.0
2003-03-21,share market closes week steady,0.16666666666666666,0.5
2003-03-23,marketing guru fronts workshops,0.0,0.0
2003-03-24,aust stocks head downwards in wake of longer war,0.0,0.0
2003-03-24,mayor upbeat about forsayth businesses,0.0,0.0
2003-03-24,rivkin faces court on insider trading charges,0.0,0.0
2003-03-24,rivkin pleads not guilty to insider trading,0.25,1.0
2003-03-25,big business to adopt wait and see stance on bank,0.0,0.1
2003-03-25,business investment predicted to hold up well,0.0,0.0
2003-03-25,mp seeks trading act change,0.0,0.0
2003-03-25,race meeting weekend boosts broken hill businesses,-0.4,0.4
2003-03-26,business activity flying high but turbulence lies,0.16,0.54
2003-03-26,iraq war dominates global markets,0.0,0.0
2003-03-26,local market growth could offset fall in,0.0,0.0
2003-03-26,missile strikes kill 14 in baghdad market,0.0,0.0
2003-03-26,timber firm branching out into wine business,-0.2,0.4
2003-03-27,baghdad bombings go on after market carnage,0.0,0.0
2003-03-27,farmers urged to fight for iraqi wheat market,0.0,0.0
2003-03-27,market stays in holding pattern over iraq,0.0,0.0
2003-03-28,treasurers plan to cease business poaching,0.0,0.0
2003-03-28,us says market blast may never be solved,0.0,0.0
2003-03-31,global markets sobered by fears of long iraq war,-0.025,0.2
2003-03-31,n korea to issue bonds to boost economy defence,0.0,0.0
2003-04-01,businesses urged to address indigenous unemployment,0.0,0.0
2003-04-01,us stocks to tick up but war weighs on sentiment,0.0,0.0
2003-04-02,portland hosts regional forestry investment,0.0,0.0
2003-04-02,primary producers form marketing group,0.4,0.5
2003-04-02,retailers says confusion rife over easter trading,0.0,0.0
2003-04-03,missile hits baghdad market eight killed,-0.2,0.0
2003-04-03,pressure mounts for mineral investment tax,0.0,0.0
2003-04-03,seven day trade good for business tas govt,0.7,0.6000000000000001
2003-04-03,us markets bet on white flags,0.0,0.0
2003-04-04,claims too many abattoirs spoiling meat market,0.5,0.5
2003-04-04,share market closes on a positive note,0.22727272727272727,0.5454545454545454
2003-04-04,shops still unsure of easter sunday trading hours,0.0,0.0
2003-04-04,tas business concerned over compo changes,0.0,0.0
2003-04-04,us senate passes bill to finance war 130 billion,0.0,0.0
2003-04-06,fierce fire damages business hospital unit,0.0,0.0
2003-04-06,govt opens solar powered markets,0.0,0.0
2003-04-07,asx halts mim trading,0.0,0.0
2003-04-07,business goes on despite blaze,0.0,0.0
2003-04-07,hopes for wars end starts market surge,0.0,0.0
2003-04-07,market up with hopes of quick end to war,0.3333333333333333,0.5
2003-04-07,ministers small business bus trip heads for tweed,-0.25,0.4
2003-04-07,tourism head wants us market targeted,0.2,0.1
2003-04-08,australian businesses buffeted by global events,0.0,0.0
2003-04-08,business arts program to boost career of young,0.1,0.4
2003-04-08,n korean economy has already collapsed former us,0.0,0.0
2003-04-08,row continues over easter sunday trading,0.0,0.0
2003-04-08,teens help catch businesses out over smoke sales,0.0,0.0
2003-04-08,tourism businesses on verge of closure in vic,0.0,0.0
2003-04-09,players assoc concerned over finance investigation,0.0,0.0
2003-04-10,imf predicts slowdown for aust economy,0.0,0.0
2003-04-10,news corp losses drag market lower,-0.1,0.07083333333333333
2003-04-11,easter trading bans causing confusion mp,0.0,0.0
2003-04-11,market edges higher to finish week,0.25,0.5
2003-04-11,summit to consider boosting regional investment,0.0,0.0
2003-04-13,g7 finance chiefs call for un action on iraq,0.1,0.1
2003-04-13,nsw govt approves saturday trading for bank,0.0,0.0
2003-04-14,ballarat retailers angry over easter trading laws,-0.5,1.0
2003-04-14,bank falls pull market downwards,0.0,0.0
2003-04-14,flippers son destined for show business,0.0,0.0
2003-04-14,saturday trading approval prompts hopes for more,0.5,0.5
2003-04-14,wa flying high on investment economist,0.16,0.54
2003-04-14,young business fined for releasing offensive odours,0.1,0.4
2003-04-15,businesses urged to prepare for big tourism season,0.0,0.1
2003-04-15,claims investment boom not helping smaller miners,0.0,0.5
2003-04-15,drought weighs down business outlook,-0.15555555555555556,0.2888888888888889
2003-04-15,finance union suing commonwealth bank,0.0,0.0
2003-04-15,fraser is police station open for business,0.0,0.5
2003-04-15,global factors affecting local real estate market,0.06666666666666667,0.10000000000000002
2003-04-15,market rallies on gains of major banks,0.0625,0.5
2003-04-15,mp confident about iraqi wheat market,0.5,0.8333333333333334
2003-04-15,nab tips economy down interest rates up,-0.15555555555555556,0.2888888888888889
2003-04-15,smoking bans may affect business hospitality,0.0,0.0
2003-04-15,tas business prospects improving treasurer,0.0,0.0
2003-04-16,amp rise helps market gain,0.0,0.0
2003-04-16,business as usual for moya in monte carlo,-0.25,0.25
2003-04-16,eisteddfod organisers praise local businesses,0.0,0.0
2003-04-16,trading hours debate heats up,0.0,0.0
2003-04-17,brisbane blood stocks hit critical low,0.0,0.55
2003-04-17,car sales driving economy,0.0,0.0
2003-04-17,firms woes shouldnt reflect on local economy,0.0,0.0
2003-04-17,hotels agree to shorter trading hours,0.0,0.0
2003-04-17,markets down ahead of easter weekend,-0.15555555555555556,0.2888888888888889
2003-04-17,nauru faces us finance ban despite law changes,0.0,0.0
2003-04-17,police to enforce easter trading laws,0.0,0.0
2003-04-18,business warns of exodus over planning,0.0,0.0
2003-04-18,injury statistics highlight risky business,0.0,0.0
2003-04-18,stocks push higher,0.25,0.5
2003-04-19,qld tourism looks to domestic market,0.0,0.1
2003-04-19,saddams finance minister in custody us,0.0,0.0
2003-04-20,retailers unsure over easter sunday trading,0.0,0.0
2003-04-21,businesses to get asian trade advice,0.0,0.0
2003-04-21,tourism industry urged to adopt better business,0.5,0.5
2003-04-22,businesses urged to build north east asian trade,0.0,0.0
2003-04-22,market rises after easter break,0.0,0.0
2003-04-23,australian economy not out of woods,0.0,0.0
2003-04-24,airline to focus on japanese market,0.0,0.0
2003-04-24,market barely budges as working week ends,0.05,0.1
2003-04-24,sars impact providing far north business benefits,0.1,1.0
2003-04-25,n korean nuke admission batters regional markets,0.0,0.0
2003-04-27,mask producers warned over marketing,0.0,0.0
2003-04-28,groups focus on kimberley business vision,0.0,0.0
2003-04-28,sharemarket follows wall street down,-0.15555555555555556,0.2888888888888889
2003-04-29,nab survey finds drought still hurting agribusiness,0.0,0.0
2003-04-29,survey highlights little support for trading hours,-0.1875,0.5
2003-04-30,graziers in a spin over wool market fall,0.0,0.0
2003-04-30,market steady despite bank losses,0.16666666666666666,0.5
2003-04-30,nauru economy in trouble,-0.2,0.2
2003-04-30,rivkin found guilty of insider trading,-0.5,1.0
2003-05-01,amp split will help international business ceo,0.0,0.0
2003-05-01,market steady as banks claw back,0.08333333333333333,0.25
2003-05-01,nt business confidence increasing,0.0,0.0
2003-05-01,road closure sparks business concerns,0.0,0.0
2003-05-02,act economy strong but outlook wavering,0.43333333333333335,0.7333333333333334
2003-05-02,hunter economy powering along,0.0,0.0
2003-05-02,market loses ground as banks resources slip,-0.3,0.1
2003-05-03,market up at close of trade overseas,0.0,0.0
2003-05-03,tga says folic acid pills on the market are safe,0.5,0.5
2003-05-04,cycling tour boosts local economy,0.0,0.0
2003-05-04,labor targets predatory big business,0.0,0.1
2003-05-06,asic probes amp futures trading,0.0,0.0
2003-05-06,business groups blast living wage rise,0.0,0.0
2003-05-06,call for vic budget to address regional economy,0.0,0.0
2003-05-06,market drags under weight of amp news corp,0.0,0.0
2003-05-06,pbl shuts down online gaming business,-0.15555555555555556,0.2888888888888889
2003-05-06,rebuilding keeps act business busy,0.1,0.3
2003-05-06,unions business back budget,0.0,0.0
2003-05-07,amp qantas fail to drag aussie market down,-0.2518518518518518,0.21990740740740744
2003-05-07,artists get business boost with advice program,0.0,0.0
2003-05-07,blaze destroys businesses,0.0,0.0
2003-05-07,feds decision pushes stocks higher,0.25,0.5
2003-05-07,green views of sugar industry impacting markets,-0.2,0.3
2003-05-07,opp supports supermarket alcohol ban,0.0,0.0
2003-05-08,illegal fishing hurting local fish stocks minister,-0.25,0.25
2003-05-08,market dragged down by banks amp,-0.15555555555555556,0.2888888888888889
2003-05-08,pan recall has forced businesses under council,-0.30000000000000004,0.2
2003-05-08,trading in southcorp shares suspended,0.0,0.0
2003-05-09,market steadies as dollar hits three year high,0.16,0.54
2003-05-10,small business being pushed out of oil industry mta,-0.25,0.4
2003-05-11,asian companies interested in darwin business park,0.125,0.25
2003-05-11,businesses urged to retain older workers,0.16666666666666666,0.3333333333333333
2003-05-11,darwin businesses evacuated after gas leak,0.0,0.0
2003-05-12,australian fruit and vege back in singapore market,0.0,0.0
2003-05-12,banks promina take market higher,0.25,0.5
2003-05-12,businesses urged to prepare for cyber crime,0.0,0.0
2003-05-12,promina shares begin trading today,0.0,0.0
2003-05-12,southcorp chief blames trading conditions for slump,0.0,0.0
2003-05-13,act property market flattens out,0.0,0.0
2003-05-14,business leaders welcome budget,0.8,0.9
2003-05-14,high tech sa farm business makes top 50 list,0.33,0.52
